@RELATION credit

@ATTRIBUTE person_age NUMERIC
@ATTRIBUTE person_income NUMERIC
@ATTRIBUTE person_home_ownership {RENT,OWN,MORTGAGE,OTHER}
@ATTRIBUTE person_emp_length NUMERIC
@ATTRIBUTE loan_grade {A,B,C,D,E,F,G}

@DATA
25,95000,RENT,9,A
21,18000,OWN,3,D
21,18000,OWN,4,B
26,100000,RENT,5,C
24,110000,RENT,7,D
24,18000,OWN,0,A
22,98000,RENT,7,F
26,103872,RENT,6,G
22,120000,RENT,4,B
24,120000,RENT,1,B
26,108000,RENT,9,G
24,124080,RENT,4,D
23,18000,MORTGAGE,1,D
24,130000,RENT,7,B
25,135000,RENT,8,B
24,135000,RENT,4,C
23,114750,RENT,2,G
23,150000,RENT,0,A
23,138000,RENT,7,D
24,18000,OWN,6,A
21,18000,OWN,0,B
26,155000,RENT,7,B
26,148000,RENT,1,F
26,170000,RENT,3,C
21,18000,OWN,1,B
24,43896,RENT,8,B
23,120000,RENT,4,C
24,54996,RENT,2,B
24,18000,MORTGAGE,0,B
25,102000,RENT,9,C
23,75000,RENT,3,E
22,18000,OWN,2,C
22,18000,OWN,1,D
25,18000,MORTGAGE,1,B
21,18000,OWN,5,B
22,66960,RENT,1,A
22,43385,RENT,7,C
25,56544,RENT,3,B
23,60000,RENT,2,B
24,18000,MORTGAGE,3,C
25,63208,RENT,9,B
24,65000,RENT,0,B
23,68000,RENT,7,B
22,18000,OWN,1,B
25,80000,RENT,9,C
24,88000,RENT,1,D
22,58600,RENT,5,B
23,70000,RENT,7,C
24,18287,OWN,3,B
26,69846,RENT,2,F
24,73000,RENT,0,E
24,18500,MORTGAGE,8,A
23,35000,RENT,2,B
25,43000,RENT,9,C
25,52000,RENT,4,B
21,18701,MORTGAGE,0,D
22,57000,RENT,6,B
25,58000,RENT,0,C
23,60000,RENT,6,B
24,60000,RENT,3,C
25,18840,MORTGAGE,5,B
26,56000,RENT,7,E
22,70000,RENT,3,B
22,66000,RENT,1,F
23,74064,RENT,3,B
24,76597,RENT,5,B
22,19000,OWN,6,A
26,77000,RENT,0,A
21,19000,OWN,5,A
24,80000,RENT,0,A
26,82600,RENT,10,B
24,19000,OWN,3,C
25,19000,OWN,3,A
23,84000,RENT,3,B
25,77650,RENT,8,B
25,82000,RENT,1,E
21,19012,MORTGAGE,0,D
23,99996,RENT,3,A
23,110000,RENT,0,B
22,19200,MORTGAGE,6,B
25,57000,RENT,4,B
24,54000,RENT,5,C
23,56000,RENT,8,G
26,63000,RENT,2,C
22,82000,RENT,3,C
22,78000,RENT,6,B
22,19200,OWN,0,B
24,112140,RENT,8,A
24,19200,MORTGAGE,4,A
25,19200,OWN,4,B
24,59000,RENT,5,D
24,70000,RENT,5,B
24,116000,RENT,5,D
25,60000,RENT,5,A
22,31000,RENT,5,B
25,47052,RENT,5,B
25,51060,RENT,9,A
22,19200,MORTGAGE,6,C
22,53000,RENT,3,B
26,19200,OWN,0,B
24,56000,RENT,8,D
24,65000,RENT,4,D
21,35000,RENT,3,B
22,19200,MORTGAGE,6,D
23,19200,MORTGAGE,7,A
26,40000,RENT,3,A
25,19200,OWN,2,B
26,42000,RENT,0,F
23,63000,RENT,2,B
26,19200,MORTGAGE,5,A
22,59000,RENT,2,B
22,70500,RENT,3,C
26,65219,RENT,11,D
22,75000,RENT,2,B
22,19200,MORTGAGE,3,D
25,62047,RENT,9,E
24,79000,RENT,8,A
23,80000,RENT,3,B
24,84000,RENT,8,B
26,85000,RENT,3,C
22,93000,RENT,1,B
26,81000,RENT,10,E
26,97000,RENT,1,A
26,97000,RENT,3,C
25,100000,RENT,2,D
26,19200,OTHER,0,C
21,19253,MORTGAGE,4,A
26,125000,RENT,5,A
25,125000,RENT,9,C
23,82000,RENT,2,B
21,19500,MORTGAGE,0,B
26,50000,RENT,7,A
23,70000,RENT,2,C
22,19800,OWN,1,A
123,80004,RENT,2,B
23,54000,RENT,7,A
26,26000,RENT,10,B
24,33000,RENT,1,B
23,20000,OWN,0,B
22,20000,OWN,6,B
24,35364,RENT,1,B
25,38000,RENT,4,D
23,32000,RENT,3,D
25,38004,RENT,6,C
23,20000,MORTGAGE,2,B
25,38556,RENT,9,C
23,32900,RENT,1,D
25,34000,RENT,10,B
24,40000,RENT,4,B
21,36000,RENT,5,D
26,20000,MORTGAGE,5,A
25,42000,RENT,2,C
22,42224,RENT,7,A
25,20000,OWN,0,D
23,20000,MORTGAGE,7,C
22,37212,RENT,6,E
25,38000,RENT,9,B
22,45000,RENT,0,A
23,45000,RENT,4,B
24,45000,RENT,8,E
23,20000,OWN,7,A
22,45000,RENT,1,C
24,39000,RENT,5,D
24,46500,RENT,5,B
22,48000,RENT,7,B
22,42000,RENT,1,D
22,48500,RENT,1,B
22,20000,OWN,3,A
23,49400,RENT,0,A
25,20000,MORTGAGE,1,A
25,50000,RENT,10,A
25,50000,RENT,9,C
22,50000,RENT,6,C
22,20000,OWN,1,C
22,44000,RENT,2,E
24,50866,RENT,6,B
25,50950,RENT,5,B
24,51000,RENT,8,B
22,51000,RENT,5,B
22,51000,RENT,0,C
24,51500,RENT,6,B
25,51996,RENT,9,B
25,52000,RENT,1,B
22,46000,RENT,2,D
26,20000,MORTGAGE,1,A
24,52000,RENT,8,D
25,46000,RENT,9,C
24,52559,RENT,9,B
22,47000,RENT,5,D
22,54000,RENT,2,B
23,48000,RENT,7,D
23,48000,RENT,0,D
23,54000,RENT,1,B
24,48912,RENT,0,C
26,54996,RENT,8,B
24,55000,RENT,8,A
25,55000,RENT,3,A
26,49000,RENT,0,F
25,55000,RENT,0,B
22,20000,MORTGAGE,0,B
23,55000,RENT,5,B
25,55200,RENT,7,B
23,20004,MORTGAGE,6,A
23,57000,RENT,3,D
22,51012,RENT,1,D
23,20004,MORTGAGE,2,E
26,20004,MORTGAGE,4,B
22,58000,RENT,0,C
23,58800,RENT,7,A
26,59000,RENT,10,A
26,53000,RENT,1,E
23,60000,RENT,7,A
24,54000,RENT,2,D
21,20245,OWN,5,A
26,20280,MORTGAGE,5,A
24,60000,RENT,0,B
24,20352,OWN,3,A
25,54000,RENT,6,B
24,60000,RENT,8,A
23,54000,RENT,6,D
23,54000,RENT,2,B
22,60000,RENT,4,A
25,60000,RENT,2,B
22,20400,MORTGAGE,6,D
24,20400,MORTGAGE,5,B
25,60000,RENT,9,B
25,54000,RENT,1,D
24,54000,RENT,1,E
23,60000,RENT,3,B
21,20400,OWN,2,C
25,54000,RENT,1,D
24,60000,RENT,0,B
21,20400,OWN,5,B
24,60000,RENT,8,D
26,60000,RENT,3,B
23,54504,RENT,1,E
24,55000,RENT,2,E
24,61000,RENT,2,B
22,20400,OWN,0,D
25,62000,RENT,3,A
24,56000,RENT,3,D
21,56000,RENT,4,E
24,62400,RENT,8,B
25,62400,RENT,7,B
25,63000,RENT,3,B
26,58000,RENT,0,B
23,65000,RENT,0,B
24,20800,OWN,0,D
23,65000,RENT,0,B
23,65000,RENT,7,B
24,20856,OWN,4,B
25,20868,OWN,0,C
26,59000,RENT,3,C
23,59000,RENT,7,C
21,21000,MORTGAGE,5,D
26,65004,RENT,7,B
25,59004,RENT,1,D
23,59004,RENT,5,B
23,65500,RENT,2,C
22,66996,RENT,3,B
23,67000,RENT,0,B
24,67000,RENT,5,C
26,68000,RENT,10,B
25,68000,RENT,4,C
24,62400,RENT,4,D
23,69500,RENT,3,E
25,70000,RENT,5,B
22,70000,RENT,2,A
25,64000,RENT,0,E
25,71004,RENT,9,D
22,21000,MORTGAGE,4,B
23,71004,RENT,8,D
23,55392,RENT,3,D
24,72000,RENT,5,B
24,21000,OTHER,4,B
23,66000,RENT,1,D
22,66000,RENT,3,D
24,72000,RENT,4,D
24,74000,RENT,0,B
22,21120,MORTGAGE,3,D
25,75000,RENT,8,B
21,21216,MORTGAGE,5,D
25,21221,MORTGAGE,4,B
24,75000,RENT,4,B
26,75000,RENT,5,A
26,75000,RENT,3,A
25,75000,RENT,0,B
22,69000,RENT,6,B
22,75000,RENT,2,C
21,21600,MORTGAGE,6,A
26,21600,OWN,5,B
24,69000,RENT,0,E
23,75600,RENT,3,E
23,59497,RENT,0,E
23,76000,RENT,7,B
26,70000,RENT,7,C
24,70000,RENT,8,E
22,77004,RENT,6,C
26,71004,RENT,0,D
21,21600,OWN,4,A
22,21600,MORTGAGE,4,A
24,21600,MORTGAGE,8,A
26,78000,RENT,8,C
22,21600,MORTGAGE,4,C
26,21600,OWN,4,B
22,21600,MORTGAGE,6,C
123,78000,RENT,7,B
23,61200,RENT,4,B
21,21600,MORTGAGE,2,A
24,72000,RENT,6,D
23,78000,RENT,3,B
23,78500,RENT,7,C
23,79000,RENT,5,D
23,80000,RENT,4,A
23,21600,OWN,2,C
22,62900,RENT,6,D
24,80000,RENT,3,C
25,80000,RENT,7,B
23,21600,MORTGAGE,7,A
22,80000,RENT,3,C
22,21600,OWN,3,A
26,62900,RENT,2,C
26,21600,MORTGAGE,0,B
25,74004,RENT,2,E
25,80004,RENT,9,C
23,80700,RENT,7,B
22,81000,RENT,3,C
24,21600,MORTGAGE,0,D
22,82000,RENT,6,C
23,76042,RENT,6,D
22,76654,RENT,2,C
24,83500,RENT,1,C
26,21600,OWN,4,A
23,84000,RENT,7,B
25,84000,RENT,9,C
23,21600,OWN,0,B
21,21600,MORTGAGE,2,B
24,78996,RENT,2,D
23,85000,RENT,0,A
25,85000,RENT,3,B
26,73000,RENT,3,B
21,21816,MORTGAGE,2,B
23,21840,OWN,1,A
25,85000,RENT,4,B
24,21948,MORTGAGE,2,D
22,87000,RENT,5,C
23,21996,OWN,4,C
22,90000,RENT,5,B
23,78000,RENT,0,F
24,90000,RENT,9,A
23,90000,RENT,2,B
26,90000,RENT,10,B
22,22000,MORTGAGE,6,B
23,90000,RENT,0,C
25,91229,RENT,2,C
26,22000,MORTGAGE,3,B
22,92000,RENT,6,F
22,22000,MORTGAGE,3,A
25,22000,MORTGAGE,9,A
25,92407,RENT,9,B
22,22000,MORTGAGE,0,B
24,22000,MORTGAGE,8,A
26,93492,RENT,0,B
23,22000,MORTGAGE,5,A
22,94500,RENT,2,B
23,83000,RENT,7,C
23,95000,RENT,2,B
24,95000,RENT,4,D
21,22000,OWN,5,A
23,96000,RENT,1,C
22,22000,MORTGAGE,6,A
22,85200,RENT,6,D
22,98000,RENT,2,B
24,22000,OWN,1,D
23,99000,RENT,7,D
21,22000,OWN,2,D
22,22000,OWN,1,D
24,99996,RENT,0,C
25,87996,RENT,0,E
26,22000,OWN,6,B
25,100000,RENT,9,C
25,100000,RENT,9,C
25,22000,OWN,0,E
23,22080,MORTGAGE,3,A
22,74800,RENT,3,D
23,74800,RENT,1,E
22,100000,RENT,0,B
25,22260,MORTGAGE,9,A
26,22296,OWN,4,A
26,104000,RENT,0,B
23,93000,RENT,6,C
23,95000,RENT,0,D
25,108000,RENT,0,C
25,96901,RENT,3,C
23,110000,RENT,3,B
22,110000,RENT,7,C
22,110000,RENT,6,C
24,110000,RENT,1,B
23,110000,RENT,2,B
22,22800,MORTGAGE,5,A
22,22800,MORTGAGE,0,B
23,22800,MORTGAGE,2,A
25,85000,RENT,7,E
23,22800,MORTGAGE,3,A
22,22800,MORTGAGE,4,C
23,120000,RENT,4,B
24,22800,OWN,3,B
24,121000,RENT,8,A
23,125000,RENT,7,B
22,22800,MORTGAGE,0,A
25,130000,RENT,0,C
26,130000,RENT,10,C
23,22884,MORTGAGE,4,E
24,133000,RENT,3,D
22,23000,MORTGAGE,5,A
21,23000,MORTGAGE,2,A
25,140000,RENT,9,A
24,138000,RENT,2,D
23,23000,MORTGAGE,7,D
26,148000,RENT,1,E
22,160000,RENT,6,A
22,23000,MORTGAGE,2,B
26,160000,RENT,3,B
26,168000,RENT,1,B
26,172500,RENT,3,B
21,23000,MORTGAGE,6,C
25,175000,RENT,3,C
25,23000,MORTGAGE,4,A
25,58000,RENT,9,B
26,116000,RENT,10,B
26,19500,RENT,0,C
25,23000,MORTGAGE,4,C
21,19000,RENT,0,C
22,23000,MORTGAGE,4,D
25,19000,RENT,0,C
23,10000,RENT,4,B
22,10000,RENT,0,D
21,10140,RENT,4,C
22,23000,MORTGAGE,1,A
21,23000,OTHER,0,B
23,10500,RENT,4,B
22,11220,RENT,4,C
22,11760,RENT,0,C
23,11820,RENT,4,C
25,12000,RENT,0,B
21,12000,RENT,1,C
22,12000,RENT,0,C
22,12240,RENT,1,D
24,13728,RENT,4,B
21,14400,RENT,1,D
23,23040,OWN,0,B
21,23040,OWN,1,D
22,14400,RENT,2,E
21,23040,OWN,0,A
22,15000,RENT,0,D
21,16000,RENT,2,D
24,16800,RENT,4,B
22,16800,RENT,2,C
24,19200,RENT,2,B
23,39600,RENT,5,B
22,39900,RENT,4,B
25,47000,RENT,4,B
25,50000,RENT,2,B
25,52000,RENT,5,B
24,23500,MORTGAGE,2,B
26,47500,RENT,10,E
25,54000,RENT,8,C
22,54000,RENT,6,A
23,54586,RENT,5,B
26,62004,RENT,5,A
22,70000,RENT,1,B
23,72000,RENT,3,B
24,73000,RENT,8,B
23,78000,RENT,2,A
25,23920,MORTGAGE,0,D
22,23964,OWN,4,B
26,96000,RENT,6,C
24,105000,RENT,2,C
24,175000,RENT,1,B
26,50000,RENT,10,B
26,55000,RENT,7,A
22,70000,RENT,2,B
22,36500,RENT,0,A
22,43000,RENT,4,B
24,24000,OWN,0,B
24,34300,RENT,4,B
21,36000,RENT,3,C
22,38000,RENT,2,A
25,55784,RENT,2,C
23,74196,RENT,2,B
25,75000,RENT,0,A
24,73000,RENT,0,A
22,24000,OWN,5,B
21,24000,MORTGAGE,0,A
24,78000,RENT,1,F
26,145000,RENT,3,C
22,24000,MORTGAGE,5,A
22,48888,RENT,1,C
22,50000,RENT,2,B
23,120000,RENT,7,A
22,24000,MORTGAGE,1,C
25,24000,MORTGAGE,0,C
22,34000,RENT,0,B
24,35004,RENT,3,B
25,34500,RENT,1,E
23,42504,RENT,0,B
22,24000,MORTGAGE,4,A
22,36996,RENT,2,D
24,45600,RENT,2,C
25,24000,MORTGAGE,4,A
23,46000,RENT,6,B
25,46000,RENT,8,C
25,55044,RENT,4,E
25,49200,RENT,4,D
22,50000,RENT,6,E
23,50000,RENT,4,B
26,44000,RENT,0,D
24,36000,RENT,4,B
25,36400,RENT,2,B
22,36000,RENT,6,B
24,55000,RENT,4,B
23,27000,RENT,2,C
23,24000,OWN,2,D
23,33000,RENT,4,B
21,36000,RENT,4,B
21,30720,RENT,5,C
23,39996,RENT,2,B
25,40000,RENT,2,C
22,24000,MORTGAGE,2,B
25,42000,RENT,3,A
24,24000,MORTGAGE,3,A
24,24000,OWN,1,A
24,42765,RENT,9,C
24,43000,RENT,9,A
22,44000,RENT,7,C
24,44000,RENT,6,B
25,39000,RENT,3,E
22,46800,RENT,6,C
22,48000,RENT,5,B
24,42000,RENT,8,D
24,24000,OWN,5,A
24,43400,RENT,2,E
24,50000,RENT,1,B
24,50000,RENT,4,A
23,24000,MORTGAGE,2,D
23,24000,OWN,4,B
26,50000,RENT,5,C
22,50000,RENT,6,C
22,24000,OWN,3,B
22,52000,RENT,6,C
22,24000,OWN,1,C
25,52000,RENT,2,C
22,52000,RENT,1,C
